,PREDICT,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,MGMT_NUM
0,0,0.425742574,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.03600823,0.0,0.016835017,0.0,0.0,0.0,0.014553015,0.0,0.014553015,0.0,0.032786347,0.014753482,0.055561875,0.011735823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.326251897,0.0,0.010869565,0.0,0.002375297,0.0,0.047619048,0.200596166,0.084694374,0.038461538,0.150642857,0.01540365,0.053341898,0.008576298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.279220779,0.0,0.0,0.0,0.0,0.0,0.048027444,0.0,0.048027444,0,0.031728045,0.021354321,0.052043976,0.0,0.0,N,N,F,0.580645161,22745078
1,0,0.524752475,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002857143,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.03600823,0.0,0.0,0.0,0.0,0.0,0.014553015,0.0,0.014553015,0.0,0.019527404,0.160685838,0.231258765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001828828,0.000978394,0.0,0.0,0.0,0,0.002684272,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.326251897,0.0,0.003623188,0.0,0.002375297,0.0,0.051369048,0.200596166,0.08829839,0.038461538,0.147109635,0.144041962,0.217044186,0.00567466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.279220779,0.0,0.0,0.0,0.0,0.0,0.048027444,0.0,0.048027444,0,0.031728045,0.150885061,0.197217736,0.0,0.166666667,N,N,F,0.543010753,23631722
2,0,0.475247525,0.0,0.0,0.019230769,0.0,0,0.021978022,0.0,0.045454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013690946,0.011085244,0.0,0.0,0.0,0,0.022376321,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.137860082,0.111111111,0.033670034,0.0,0.0,0.0,0.032016632,0.025225225,0.043659044,0.0,0.04250082,0.103015792,0.263467179,0.021923951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012912721,0.0,0.0,0.0,0,0.012912721,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.409711684,0.090909091,0.018115942,0.0,0.002375297,0.0,0.047619048,0.248018427,0.104716684,0.038461538,0.156644518,0.106832642,0.202956989,0.032383137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029827789,0.011855954,0.0,0.0,0.0,0,0.040422664,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.350649351,0.090909091,0.006451613,0.0,0.0,0.0,0.048027444,0.018108678,0.054030875,0,0.035694051,0.106078757,0.260189795,0.036098781,0.0,N,0,F,0.306451613,27613457
3,1,0.663366337,0.0,0.0,0.0,0.0125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011865845,0.0,0.0,0.0,0,0.011865845,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.108024691,0.111111111,0.050505051,0.0,0.0,0.0,0.014553015,0.027027027,0.027027027,0.0,0.07006892,0.006403869,0.040035468,0.18130389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001871369,0.009598766,0.0,0.0,0.0,0,0.011344324,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.375417299,0.090909091,0.028985507,0.0,0.002375297,0.0,0.053571429,0.254793036,0.113297675,0.038461538,0.174086379,0.009704102,0.050386747,0.084083752,0.027272727,0.009174312,0.015652174,0.0,0.0,0.0,0.011857708,0.0,0.0,0.004774725,0.0,0.0,0.0,0,0.004273701,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.32972583,0.090909091,0.006451613,0.0,0.00952381,0.0,0.048027444,0.02586954,0.056603774,0,0.037393768,0.003659477,0.074053893,0.081010861,0.0,Y,0,F,0.333333333,27241086
4,0,0.574257426,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002337491,0.0,0.000675891,0.0,0,0.002807185,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.03600823,0.0,0.01010101,0.0,0.0,0.0,0.014553015,0.009009009,0.022869023,0.058823529,0.028552675,0.039948853,0.104980085,0.006145068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.326251897,0.0,0.003623188,0.0,0.002375297,0.0,0.047619048,0.200596166,0.084694374,0.038461538,0.147259136,0.032383409,0.128785903,0.00220343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.279220779,0.0,0.0,0.0,0.0,0.0,0.048027444,0.0,0.048027444,0,0.031728045,0.04016507,0.160865078,0.0,0.0,Y,N,F,0.607526882,22210116
5,1,0.356435644,0.777777778,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024140638,0.0,0.0,0.0,0.0,0,0.019909057,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.03600823,0.0,0.047138047,0.0,0.0,0.0,0.056133056,0.0,0.056133056,0.0,0.06219232,0.043321677,0.065550098,0.023579589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00829977,0.0,0.0,0.0,0.0,0,0.007741781,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.326251897,0.0,0.025362319,0.0,0.002375297,0.0,0.077380952,0.200596166,0.113297675,0.038461538,0.166611296,0.022010525,0.056618845,0.010228871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.279220779,0.0,0.012903226,0.0,0.0,0.0,0.048027444,0.0,0.048027444,0,0.041643059,0.013653531,0.061952404,0.007779244,0.083333333,N,N,F,0.048387097,32429072
6,1,0.544554455,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005187019,0.0,0.0,0.0,0,0.005187019,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.03600823,0.0,0.016835017,0.0,0.0,0.0,0.014553015,0.027027027,0.027027027,0.0,0.034952412,0.109928582,0.181072713,0.041489675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005344895,0.0,0.0,0.0,0,0.005344895,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.326251897,0.0,0.018115942,0.0,0.002375297,0.0,0.047619048,0.227694601,0.096135694,0.038461538,0.161627907,0.081827511,0.147396611,0.055345496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007743457,0.0,0.0,0.0,0,0.006930916,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.279220779,0.0,0.032258065,0.0,0.0,0.0,0.048027444,0.02586954,0.056603774,0,0.059181303,0.096877603,0.205263807,0.044707724,0.0,N,N,M,0.290322581,27980912
7,0,0.465346535,0.0,0.0,0.0,0.0,0,0.010989011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022504526,0.0,0.0,0.0,0,0.022504526,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.03600823,0.0,0.0,0.0,0.0,0.0,0.014553015,0.0,0.014553015,0.0,0.019527404,0.056613227,0.424727202,0.032599551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003673889,0.0,0.0,0.0,0,0.003673889,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.326251897,0.0,0.0,0.0,0.002375297,0.0,0.047619048,0.200596166,0.084694374,0.038461538,0.145016611,0.095735988,0.454057102,0.003302262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033327993,0.0,0.0,0.008559351,0.0,0,0.037382958,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.279220779,0.0,0.0,0.0,0.0,0.0,0.048027444,0.0,0.048027444,0,0.031728045,0.198742678,0.470745406,0.036802112,0.083333333,Y,N,M,0.284946237,28075082
8,1,0.524752475,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009887093,0.0,0.0,0.0,0,0.009887093,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.03600823,0.0,0.013468013,0.0,0.0,0.0,0.014553015,0.005675676,0.017172557,0.0,0.023765999,0.056590742,0.158441967,0.010226926,0.0,0.0,0.0,0.012820513,0.0,0.0,0.002949853,0.0,0.0,0.001347948,0.0,0.0,0.0,0,0.001347948,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.427937953,0.272727273,0.025362319,0.0,0.002375297,0.0,0.047619048,0.200596166,0.084694374,0.038461538,0.150981728,0.056706592,0.170188486,0.02622319,0.0,0.0,0.0,0.006329114,0.0,0.0,0.003952569,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.516594517,0.272727273,0.006451613,0.0,0.0,0.0,0.048027444,0.0,0.048027444,0,0.056968839,0.074979943,0.217207721,0.138965613,0.333333333,N,N,M,0.322580645,27436403
9,0,0.564356436,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007455114,0.0,0.0,0.0,0,0.007455114,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.03600823,0.0,0.026936027,0.0,0.0,0.0,0.014553015,0.0,0.014553015,0.0,0.045782737,0.088724012,0.125337312,0.106558939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000815663,0.0,0.0,0.0,0,0.000815663,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.326251897,0.0,0.007246377,0.0,0.002375297,0.0,0.047619048,0.200596166,0.084694374,0.038461538,0.169933555,0.08274723,0.113135906,0.092033536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.279220779,0.0,0.012903226,0.0,0.0,0.0,0.048027444,0.0,0.048027444,0,0.04305949,0.068315992,0.183737583,0.084582395,0.0,Y,Y,M,0.327956989,27332172
10,0,0.405940594,0.777777778,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002857143,0.0,0.0,0.0,0.0041841,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.03600823,0.0,0.0,0.0,0.0,0.0,0.014553015,0.0,0.014553015,0.0,0.019527404,0.01726099,0.094631318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.326251897,0.0,0.0,0.0,0.002375297,0.0,0.047619048,0.200596166,0.084694374,0.038461538,0.145016611,0.032790409,0.084946764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.279220779,0.0,0.0,0.0,0.0,0.0,0.048027444,0.0,0.048027444,0,0.031728045,0.034835857,0.146617442,0.0,0.083333333,N,N,M,0.048387097,32438097
11,0,0.158415842,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071206324,0.002055204,0.0,0.002595805,0.0,0,0.062583755,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.03600823,0.0,0.003367003,0.0,0.0,0.0,0.014553015,0.0,0.014553015,0.0,0.027732196,0.039677528,0.197787053,0.063932597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.326251897,0.0,0.0,0.0,0.002375297,0.0,0.047619048,0.200596166,0.084694374,0.038461538,0.145016611,0.032623117,0.253708566,0.007829453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039184321,0.0,0.0,0.022252954,0.0,0,0.049753646,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.279220779,0.0,0.0,0.0,0.0,0.0,0.048027444,0.0,0.048027444,0,0.031728045,0.090018425,0.332406575,0.044428991,0.0,N,N,F,0.424731183,25972384
12,0,0.554455446,0.472222222,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.03600823,0.0,0.003367003,0.0,0.0,0.0,0.014553015,0.0,0.014553015,0.0,0.02125041,0.011470975,0.125134012,0.009696046,0.0,0.0,0.0,0.006410256,0.0,0.0,0.002949853,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.326251897,0.0,0.003623188,0.0,0.002375297,0.0,0.047619048,0.200596166,0.084694374,0.038461538,0.146760797,0.028261905,0.143836552,0.008823806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.279220779,0.0,0.0,0.0,0.0,0.0,0.048027444,0.0,0.048027444,0,0.031728045,0.026211766,0.143890203,0.0,0.0,Y,Y,F,0.107526882,31562891
