X62,X65,X68
0.0,0.0,
0.002684272,0.0,
0.012912721,0.0,
0.011344324,0.0,
0.0,0.0,
0.007741781,0.0,
0.005344895,0.0,
0.003673889,0.0,
0.001347948,0.0,
0.000815663,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.03847643,0.0,
0.0,0.0,
0.006717293,0.0,
0.0,0.0,
0.0,0.0,
0.001961198,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.011377191,0.0,
0.002992099,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.001563186,0.0,
5.45e-05,0.0,
0.0,0.0,
0.028247179,0.0,
0.0,0.0,
0.0,0.0,
0.002486669,0.0,
0.0,0.0,
0.0,0.0,
0.011105838,0.0,
0.001337126,0.0,
0.0,0.0,
0.015911634,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.011844544,0.0,
0.0,0.0,
0.001295441,0.0,
0.0016682,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.018381469,0.0,
0.0,0.0,
0.004147254,0.0,
0.0,0.0,
0.0,0.0,
0.029976705,0.0,
0.005900828,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.006909284,0.0,
0.006739337,0.0,
0.066538432,0.0,
0.0,0.0,
0.006213866,0.0,
0.004214591,0.0,
0.0,0.0,
0.003805758,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.017815515,0.0,
0.016705252,0.0,
0.007185046,0.0,
0.002729564,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.023438978,0.0,
0.00675056,0.0,
0.001020881,0.0,
0.0,0.0,
0.009053655,0.0,
0.0,0.0,
0.0,0.0,
0.004483539,0.0,
0.0,0.0,
0.037937732,0.0,
0.014726418,0.0,
0.004249061,0.0,
0.019719396,0.0,
0.0,0.0,
0.009303765,0.0,
0.0,0.0,
0.013550822,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.006457563,0.0,
0.001443743,0.0,
0.001878629,0.0,
0.001929934,0.0,
0.004817821,0.0,
0.00173193,0.0,
0.001368389,0.0,
0.008384291,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.031698214,0.0,
0.011640127,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.00157481,0.0,
0.003186896,0.0,
0.001598859,0.0,
0.003284696,0.0,
0.028726556,0.0,
0.001814098,0.0,
0.00850173,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.004177716,0.0,
0.013156017,0.0,
0.054364016,0.0,
0.003301931,0.0,
0.022072593,0.0,
0.0,0.0,
0.00826124,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.004014183,0.0,
0.0,0.0,
0.001826924,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.007448383,0.0,
0.011026476,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.003465063,0.0,
0.006562176,0.0,
0.006022677,0.0,
0.001440536,0.0,
0.003264655,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.001469395,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.013823778,0.0,
0.0,0.0,
0.008028365,0.0,
0.0,0.0,
0.0,0.0,
0.010463729,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.001737141,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.015384615,
0.013092688,0.0,
0.0,0.0,
0.007060793,0.0,
0.002048576,0.0,
0.004927244,0.0,
0.011270574,0.0,
0.001792053,0.0,
0.0,0.0,
0.038684855,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.013543206,0.0,
0.0,0.0,
0.0,0.0,
0.002480657,0.0,
0.0,0.0,
0.0,0.0,
0.000867769,0.0,
0.011153535,0.0,
0.011650949,0.0,
0.00144214,0.0,
0.002439372,0.0,
0.013747222,0.0,
0.0,0.0,
0.008509746,0.0,
0.0,0.0,
0.0,0.0,
0.003402937,0.0,
0.046282342,0.0,
0.014905183,0.0,
0.0,0.0,
0.006386618,0.0,
0.0,0.0,
0.007993494,0.0,
0.00140807,0.0,
0.0,0.0,
0.0121664,0.0,
0.002097075,0.0,
0.0,0.0,
0.018611538,0.0,
0.0,0.0,
0.0,0.0,
0.012317508,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.003067052,0.0,
0.00545993,0.0,
0.0,0.0,
0.0,0.0,
0.000862959,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.000831295,0.0,
0.00566154,0.0,
0.054809323,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
